"index","season"
1092,"Winter"
1093,"Winter"
1094,"Winter"
1095,"Spring"
1096,"Spring"
1097,"Spring"
1098,"Spring"
1099,"Spring"
1100,"Spring"
1101,"Spring"
1102,"Spring"
1103,"Spring"
1104,"Spring"
1105,"Spring"
1106,"Spring"
1107,"Spring"
1108,"Spring"
1109,"Spring"
1110,"Spring"
1111,"Spring"
1112,"Spring"
1113,"Spring"
1114,"Spring"
1115,"Spring"
1116,"Spring"
1117,"Spring"
1118,"Spring"
1119,"Spring"
1120,"Spring"
1121,"Spring"
1122,"Spring"
1123,"Spring"
1124,"Spring"
1125,"Spring"
1126,"Spring"
1127,"Spring"
1128,"Spring"
1129,"Spring"
1130,"Spring"
1131,"Spring"
1132,"Spring"
1133,"Spring"
1134,"Spring"
1135,"Spring"
1136,"Spring"
1137,"Spring"
1138,"Spring"
1139,"Spring"
1140,"Spring"
1141,"Spring"
1142,"Spring"
1143,"Spring"
1144,"Spring"
1145,"Spring"
1146,"Spring"
1147,"Spring"
1148,"Spring"
1149,"Spring"
1150,"Spring"
1151,"Spring"
1152,"Spring"
1153,"Spring"
1154,"Spring"
1155,"Spring"
1156,"Spring"
1157,"Summer"
1158,"Summer"
1159,"Summer"
1160,"Summer"
1161,"Summer"
1162,"Summer"
1163,"Summer"
1164,"Summer"
1165,"Summer"
1166,"Summer"
1167,"Summer"
1168,"Summer"
1169,"Summer"
1170,"Summer"
1171,"Summer"
1172,"Summer"
1173,"Summer"
1174,"Summer"
1175,"Summer"
1176,"Summer"
1177,"Summer"
1178,"Summer"
1179,"Summer"
1180,"Summer"
1181,"Summer"
1182,"Summer"
1183,"Summer"
1184,"Summer"
1185,"Summer"
1186,"Summer"
1187,"Summer"
1188,"Summer"
1189,"Summer"
1190,"Summer"
1191,"Summer"
1192,"Summer"
1193,"Summer"
1194,"Summer"
1195,"Summer"
1196,"Summer"
1197,"Summer"
1198,"Summer"
1199,"Summer"
1200,"Summer"
1201,"Summer"
1202,"Summer"
1203,"Summer"
1204,"Summer"
1205,"Summer"
1206,"Summer"
1207,"Summer"
1208,"Summer"
1209,"Summer"
1210,"Summer"
1211,"Summer"
1212,"Summer"
1213,"Summer"
1214,"Summer"
1215,"Summer"
1216,"Summer"
1217,"Summer"
1218,"Summer"
1219,"Summer"
1220,"Summer"
1221,"Summer"
1222,"Summer"
1223,"Summer"
1224,"Summer"
1225,"Summer"
1226,"Summer"
1227,"Summer"
1228,"Summer"
1229,"Summer"
1230,"Summer"
1231,"Summer"
1232,"Summer"
1233,"Summer"
1234,"Summer"
1235,"Summer"
1236,"Summer"
1237,"Summer"
1238,"Summer"
1239,"Summer"
1240,"Summer"
1241,"Summer"
1242,"Summer"
1243,"Summer"
1244,"Summer"
1245,"Autumn"
1246,"Autumn"
1247,"Autumn"
1248,"Autumn"
1249,"Autumn"
1250,"Autumn"
1251,"Autumn"
1252,"Autumn"
1253,"Autumn"
1254,"Autumn"
1255,"Autumn"
1256,"Autumn"
1257,"Autumn"
1258,"Autumn"
1259,"Autumn"
1260,"Autumn"
1261,"Autumn"
1262,"Autumn"
1263,"Autumn"
1264,"Autumn"
1265,"Autumn"
1266,"Autumn"
1267,"Autumn"
1268,"Autumn"
1269,"Autumn"
1270,"Autumn"
1271,"Autumn"
1272,"Autumn"
1273,"Autumn"
1274,"Autumn"
1275,"Autumn"
1276,"Autumn"
1277,"Autumn"
1278,"Autumn"
1279,"Autumn"
1280,"Autumn"
1281,"Autumn"
1282,"Autumn"
1283,"Autumn"
1284,"Autumn"
1285,"Autumn"
1286,"Autumn"
1287,"Autumn"
1288,"Autumn"
1289,"Autumn"
1290,"Autumn"
1291,"Autumn"
1292,"Autumn"
1293,"Autumn"
1294,"Autumn"
1295,"Autumn"
1296,"Autumn"
1297,"Autumn"
1298,"Autumn"
1299,"Autumn"
1300,"Autumn"
1301,"Autumn"
1302,"Autumn"
1303,"Autumn"
1304,"Autumn"
1305,"Autumn"
1306,"Autumn"
1307,"Autumn"
1308,"Autumn"
1309,"Autumn"
1310,"Autumn"
1311,"Autumn"
1312,"Autumn"
1313,"Autumn"
1314,"Autumn"
1315,"Autumn"
1316,"Autumn"
1317,"Autumn"
1318,"Winter"
1319,"Winter"
1320,"Winter"
1321,"Winter"
1322,"Winter"
1323,"Winter"
1324,"Winter"
1325,"Winter"
1326,"Winter"
1327,"Winter"
1328,"Winter"
1329,"Winter"
1330,"Winter"
1331,"Winter"
1332,"Winter"
1333,"Winter"
1334,"Winter"
1335,"Winter"
1336,"Winter"
1337,"Winter"
1338,"Winter"
1339,"Winter"
1340,"Winter"
1341,"Winter"
1342,"Winter"
1343,"Winter"
1344,"Winter"
1345,"Winter"
1346,"Winter"
1347,"Winter"
1348,"Winter"
1349,"Winter"
1350,"Winter"
1351,"Winter"
1352,"Winter"
1353,"Winter"
1354,"Winter"
1355,"Winter"
1356,"Winter"
1357,"Winter"
1358,"Winter"
1359,"Winter"
1360,"Winter"
1361,"Winter"
1362,"Winter"
1363,"Winter"
1364,"Winter"
